Publisher,Regional Preference/Origin Location,Website,Subjects,Genre,No. of Books Published (last 5 yrs),Max. Publications' Year,Max. Publications' Season,Manuscript Needed (Y/N),Chapters Needed (Y/N),requires_agent,peer_reviewed,proposal_required,academic_focus,religious_focus,in_house,open_calls,Miscellaneous Submission Requirements,Promotion Channels,Titles/Industry Recognitions
Thomson Reuters,"Ann Arbor, United States",https://www.thomsonreuters.com/en.html,"Science, Law, Health, Finance, Business",Multi,6000,2023,Summer,Y,N,Y,N,Y,Y,None,N,N,Agented or direct proposals for professional/academic works,"Subscriptions, library distribution, conferences, corporate channels",Major global provider of professional/financial info; multiple industry accolades
"National Gallery of Art Publishing Office, Washington, DC","Washington, United States",https://www.nga.gov/research/publications.html,Art,Art,150,2021,Winter,Y,N,N,N,Y,N,None,N,N,Must relate to the Gallery’s mission/collection; proposals welcome,"Museum channels, exhibits, library distribution",Prominent art publisher; recognized for scholarly art catalogs
Chronicle Books,"San Francisco, United States",https://www.chroniclebooks.com/,"Architecture, Self-Help, Music, Design, Children's, Art, Adventure",Multi,625,2019,Winter,Y,Y,Y,N,Y,N,None,N,Y,Open to unagented proposals with query; check website guidelines,"Creative marketing, gift & specialty stores, social media presence",Distinctive illustrated books; multiple design/publishing awards
American Academy of Ophthalmology,"San Francisco, United States",https://www.aao.org/,"Science, Medical, Health",Multi,35,2021,Winter,N,N,N,N,N,N,None,Y,N,N/A (content typically developed in-house or by members),"Medical conferences, professional societies, library distribution",Respected medical association; recognized for leading ophthalmology resources
"Llewellyn Worldwide, Ltd.","Woodbury, United States",https://www.llewellyn.com/,"Self-Help, Mystery, Health, Fiction",Multi,200,2022,Fall,Y,Y,N,N,N,N,Spiritual,N,N,Prefers queries/proposals; see guidelines for esoteric/spiritual focus,"Partnerships with specialty/metaphysical bookstores, online marketing",Leading metaphysical/spiritual publisher with well-known brand
Museum of Modern Art,"New York, United States",https://www.moma.org/,"Architecture, Photography, Film, Design, Art",Multi,200,2022,Summer,N,N,N,N,N,N,None,Y,N,N/A (most works curated/in-house or invitational),"Museum exhibits, gift shop, academic & retail channels",Top-tier museum publisher with widely recognized art catalogs
Sounds True Publishing,"Louisville, United States",https://www.soundstrue.com/,"Spirituality, Religion",Multi,200,2023,Fall,Y,Y,N,N,Y,N,Spiritual,N,N,Open to proposals; see site for emphasis on mindfulness/spirituality,"Partnerships with retreat centers, online communities, conferences","Renowned for audio/spiritual content, multiple bestsellers in mind-body-spirit"
Guideposts / Ideals,"New York, United States",https://guideposts.org/,"Religion, Inspirational, Fiction, Children's",Multi,300,2023,Spring,Y,Y,N,N,Y,N,None,N,N,Prefers proposals focusing on inspirational content; see site,"Church networks, bookstore distribution, direct marketing",Longstanding inspirational publisher with broad Christian audience
American Foundation for the Blind Press,"New York City, United States",https://www.afb.org/,Academic,Academic,40,2020,Winter,Y,N,N,N,N,Y,None,N,N,Focus on research or resources for visually impaired; see guidelines,"Accessibility networks, nonprofits, specialized library distribution",Well-known for accessible/vision-related academic publications
Institute for Electrical and Electronics Engineers (IEEE),"New York City, United States",https://www.ieee.org/,"Academic, Technology",Multi,6000,2024,Summer,N,N,N,Y,N,Y,None,N,N,Peer-reviewed journals mainly; N/A for typical trade manuscripts,"IEEE conferences, academic libraries, corporate R&D distribution",World’s largest tech professional org; top-tier academic proceedings/journals
American Academy of Pediatrics,"Elk Grove Village, United States",https://www.aap.org/,"Medical, Health",Multi,200,2020,Spring,Y,N,N,N,Y,N,None,N,N,Requires proposal related to pediatrics or child health,"Professional conferences, pediatric networks, library/academic channels",Influential medical org; recognized for pediatric guidelines & research
Kids Discover,"New York, United States",https://kidsdiscover.com/,"History, Education, Children's",Multi,35,2024,Fall,Y,Y,N,N,N,N,None,N,N,N/A beyond standard submission (strong educational focus),"Direct to educators, library distribution, magazine channels",Award-winning educational kids’ content
NOLO,"Berkeley, United States",https://www.nolo.com/,Business,Business,150,2023,Fall,N,Y,N,N,N,N,None,N,N,Prefers authors with legal/financial expertise; see guidelines,"Retailers, libraries, online marketing, direct to consumer","Known for self-help law guides, widely recognized brand"
IDW Publishing,"San Diego, United States",https://idwpublishing.com/,"Comics, Graphic Novels, Fiction",Multi,2000,2020,Fall,Y,N,N,N,N,N,None,N,N,N/A beyond standard submission guidelines for comics & scripts,"Comic cons, specialty stores, broad retail distribution","Major comics publisher (Transformers, TMNT, etc.), multiple Eisner awards"
The National Academies Press,"Washington, United States",https://nap.nationalacademies.org/,"Social Sciences, Science, Medical",Multi,625,2023,Summer,Y,N,N,Y,N,Y,None,N,N,Peer-review process for official reports; see NAP website,"Government/institutional distribution, free PDFs, academic channels",Respected for authoritative government/academic reports
Fantagraphics Books,"Seattle, United States",https://www.fantagraphics.com/,"Comics, Art",Multi,250,2022,Spring,N,N,N,N,N,N,None,N,N,N/A (selective acceptance for graphic works),"Independent comic shops, specialty press, online distribution","Pioneering alternative comics publisher, multiple Eisner/Harvey awards"
American Society of Health-System Pharmacists,"Bethesda, United States",https://www.ashp.org/,"Medical, Health",Multi,125,2023,Fall,Y,N,N,N,Y,N,None,N,N,Focus on pharmacy/medical topics; proposals from qualified authors,"Healthcare conferences, academic libraries, associations","Leading pharmacy publisher, recognized for authoritative drug references"
Memoria Press,"Louisville, United States",https://www.memoriapress.com/,School,School,300,2021,Spring,Y,Y,N,N,Y,N,Christian,N,N,Open to proposals that fit classical Christian education model,"Homeschool networks, private school distribution, direct marketing",Renowned for classical education curriculum
Rose Publishing,"Carson, United States",https://www.tyndale.com/rose-publishing,"Spirituality, Society, Religion, Christian",Multi,375,2020,Winter,Y,Y,N,N,N,N,Christian,N,N,"Requires Christian/inspirational focus, see submission guidelines","Religious bookstores, conferences, direct to churches",Well-known Christian reference charts/books
"Tyndale House Publishers, Inc.","Carol Stream, United States",https://www.tyndale.com/,"Spirituality, Society, Religion, Fiction, Christian",Multi,1250,2020,Summer,N,Y,Y,N,N,N,None,N,N,Primarily agented submissions for adult fiction; see site,"Christian retailers, direct marketing, broad distribution","Major Christian publisher, numerous Christian bestsellers"
University of Minnesota Press,"Minneapolis, United States",https://www.upress.umn.edu/,"Academic, Social Sciences, Psychology, Philosophy, Literature, History, Film",Multi,250,2024,Spring,Y,Y,N,Y,Y,Y,None,N,N,Proposals with CV; peer-review for academic titles,"Academic distribution, library networks, scholarly conferences","Renowned university press, multiple academic awards"
"Wisdom Publications, Inc.","Somerville, United States",https://wisdomexperience.org/,"Spirituality, Self-Help, Religion, Reference",Multi,375,2022,Fall,Y,Y,N,N,N,N,Buddhist,N,N,"Open to Buddhist/spiritual proposals, see site for queries","Specialty spiritual stores, direct marketing, online presence",Leading publisher of Buddhist/meditation works
American Mathematical Society,"Providence, United States",https://www.ams.org/,Mathematics,Mathematics,35,2023,Fall,Y,N,N,Y,N,Y,None,N,N,Peer-review for advanced math texts; see guidelines,"Academic conferences, math societies, library distribution","Highly regarded for math monographs, journals, and references"
SAE International,"Warrendale, United States",https://www.sae.org/,"Technology, Reference",Multi,200,2023,Winter,N,N,N,Y,N,N,None,N,N,Technical manuscripts undergo peer review; see site,"Automotive/aerospace conferences, corporate/engineering distribution","Renowned automotive/aero standards org, widely used engineering references"
Melville House Publishing,"New York City, United States",https://www.mhpbooks.com/,"Memoir, Humour, History, Food, Film, Fiction, Fantasy, Current Affairs",Multi,750,2024,Winter,Y,Y,N,N,N,N,None,N,N,Prefers queries via email; see guidelines for “politics/current affairs” lines,"Independent bookstore partnerships, online channels, library marketing","Award-winning indie publisher, known for political/current events series"
Haymarket Books,"Chicago, United States",https://www.haymarketbooks.org/,"Women, Politics, History, Gender Studies, Education, Economics, Cultural Studies, Crime",Multi,200,2023,Summer,Y,Y,N,N,Y,N,None,N,N,"Proposals on progressive topics, see website guidelines","Activist networks, academic distribution, conferences, social media","Renowned progressive press, multiple awards in politics & social justice"
Oregon Catholic Press,"Portland, United States",https://www.ocp.org/,"Spirituality, Society, Religion, Christian",Multi,150,2020,Winter,N,Y,N,N,Y,N,Catholic,N,N,Requires proposals with Catholic worship/music focus,"Catholic parishes, worship communities, direct marketing",Leading Catholic liturgical music/books publisher
Cemetery Dance Publications,"Forest Hill, United States",https://www.cemeterydance.com/,"Horror, Comics",Multi,750,2020,Summer,Y,Y,N,N,N,N,None,N,N,Mostly horror fiction queries; see site for open windows,"Horror cons, specialty shops, direct fans, online marketing",Specialty horror publisher with multiple Bram Stoker Award winners
Manning Publications,"New York City, United States",https://www.manning.com/,"Technology, Computer",Multi,40,2023,Summer,N,Y,N,N,Y,N,None,N,N,Proposal with sample chapter & outline strongly recommended,"Online direct sales, developer communities, conferences",Well-known for “in Action” tech series
Morningstar Ministries,"Fort Mill, United States",https://www.morningstarministries.org/morningstar-ministries,"Spirituality, Society, Religion, Music, Christian",Multi,375,2024,Fall,Y,Y,N,N,N,N,Christian,N,N,Focused on charismatic Christian content; see submission guidelines,"Church networks, conferences, retail distribution","Known in charismatic Christian circles, various bestsellers"
W.W. Norton and Company,"New York City, United States",https://wwnorton.com/,"Health, Games, Film, Fiction, Essays, Economics, Drama, Cultural Studies",Multi,3000,2019,Winter,Y,N,Y,N,Y,Y,None,N,N,Prefers agented for trade books; direct proposals for academic lines,"Independent distribution, strong presence in trade & academic markets",Oldest employee-owned publisher; multiple award-winning literary/academic works
University of North Carolina Press,"Chapel Hill, United States",https://uncpress.org/,"Academic, Architecture, Social Sciences, Medical, Health, Art",Multi,40,2019,Summer,N,N,N,Y,Y,Y,None,N,N,Scholarly proposals with peer-review process,"Academic distribution, library networks, scholarly conferences","Highly respected university press, recognized for southern/cultural studies"
Verso Books,"New York City, United States",https://www.versobooks.com/,"Literary Fiction, Environmental, History, Art, Politics, Diverse Literature, Fiction, and Nonfiction",Multi,150,2024,Fall,N,Y,N,N,Y,N,None,N,N,"Proposals for radical/left-leaning topics, see guidelines","Activist networks, independent bookstores, global distribution",Notable left-wing publisher; multiple awards for political nonfiction
Paladin Press,"Boulder, United States",https://paladinpressbooks.com/,"Military, Law, Adventure",Multi,200,2023,Winter,Y,Y,N,N,N,N,None,N,N,Controversial/out-of-print topics also; see site disclaimers,"Online direct sales, niche retailers, specialized marketing",Specializes in military/adventure topics; known for survivalist manuals
Microcosm Publishing,"Portland, United States",https://microcosmpublishing.com/,"Self-Help, History, Gender Studies",Multi,35,2022,Fall,Y,Y,N,N,N,N,None,N,N,Prefers queries with unique subculture topics; see site,"Indie bookstore distribution, online store, alternative press fairs",DIY and self-empowerment angle; recognized small indie press
Apress,"New York City, United States",https://www.apress.com/,"Technology, Computer",Multi,375,2019,Winter,Y,N,N,N,Y,N,None,N,N,Focus on professional computing/IT topics; proposals welcome,"Part of Springer; sold worldwide, strong library/corporate channels",Established tech publisher recognized for developer-focused titles
Kensington Publishing Corp,"New York, United States",https://www.kensingtonbooks.com/,"True Crime, Thriller, Romance, Mystery, Humour, Horror, Fiction",Multi,625,2022,Winter,Y,Y,Y,N,N,N,None,N,Y,Open to unagented in certain imprints (e.g. Lyrical Press); see site,"Major retail distribution, library marketing, online promotions",Largest independent US publisher; numerous NYT bestsellers
St. Anthony Messenger Press and Servant Books,"Cincinnati, United States",https://www.franciscanmedia.org/st-anthony-messenger/,"Religion, Family",Multi,75,2021,Fall,Y,N,N,N,N,N,Catholic,N,N,Franciscan Catholic perspective required; check guidelines,"Catholic retail, church networks, direct marketing",Noted for Catholic spirituality/family titles
American Institute of Aeronautics and Astronautics,"Reston, United States",https://www.aiaa.org/,Technology,Technology,200,2024,Fall,N,Y,N,Y,N,Y,None,N,N,Peer-review for aerospace/engineering manuscripts,"Industry conferences, academic distribution, corporate sales","Premier aerospace publisher, recognized for technical standards"
Pearson Education USA,"Upper Saddle River, United States",https://www.pearson.com/en-us.html,Education,Education,625,2020,Fall,Y,Y,N,N,Y,N,None,N,N,Typically works with educational authors & instructors; proposals welcomed,"Global distribution in schools/universities, library marketing","World’s largest education company, multiple awards for textbooks"
Shambhala Publications,"Boston, United States",https://www.shambhala.com/,"Religion, Psychology, Inspirational, Health",Multi,75,2020,Fall,Y,N,N,N,N,N,Spiritual,N,N,Open to spiritual/wellness proposals; see site guidelines,"Spiritual/holistic bookstores, wide retail distribution, online presence","Leading mind-body-spirit publisher, multiple bestsellers"
American Institute of Aeronautics & Astronautics (AIAA),"Reston, United States",https://www.aiaa.org/,"Academic, Science, Design",Multi,35,2019,Summer,Y,N,N,N,N,N,None,N,N,Similar to main AIAA imprint; specialized sub-imprints (see site),"Engineering conferences, library distribution",Respected aerospace/academic press
IGI Global,"Hershey, United States",https://www.igi-global.com/,"Academic, Technology, Social Sciences, Science, Reference, Medical, Encyclopedia, Education",Multi,35,2023,Summer,Y,N,N,Y,N,Y,None,N,N,Peer-review approach for academic anthologies/journals,"Global academic library distribution, conferences",Known for large academic reference collections
Lee & Low Books,"New York City, United States",https://www.leeandlow.com/,"Picture Book, Middle Grade, Young Adult, African-American, Comics & Graphic Novels, Diverse Literature, LGBTQ+, BIPOC, and Children's",Multi,35,2022,Spring,Y,Y,N,N,N,N,None,N,Y,Open submissions with focus on diversity & #ownvoices,"Targeted marketing to diverse communities, schools, libraries",Largest multicultural children’s book publisher; many diversity awards
A BEKA Books,"Pensacola, United States",https://www.abeka.com/,"School, Religion, Christian",Multi,75,2023,Summer,Y,Y,N,N,N,N,Christian,N,N,Focus on Christian homeschool materials; see site guidelines,"Homeschool networks, Christian schools, direct marketing",Widely used in Christian homeschooling
American Library Association - ALA Editions,"Chicago, United States",https://alaeditions.org/,Reference,Reference,75,2023,Summer,Y,N,N,N,N,N,None,N,N,Professional librarian focus; see site for calls for proposals,"Library conferences (ALA), academic marketing",Official ALA imprint; respected in library science
Hal Leonard Online,"Milwaukee, United States",https://www.halleonard.com/,"Software, Music",Multi,35,2019,Spring,N,N,N,N,N,N,None,Y,N,Mostly in-house or commissioned music ed publications,"Music stores, direct distribution, school supply channels","Largest sheet music publisher, recognized brand in music ed"
Harpercollins Children's Books,"New York, United States",https://www.harpercollins.com/pages/childrens,"Poetry, Fiction, Children's",Multi,35,2021,Spring,Y,Y,Y,N,N,N,None,N,N,Primarily agented for children’s lines; see site,"Global distribution, library marketing, children’s fairs",Imprint of HarperCollins with many award-winning children’s authors
International Monetary Fund Publications Services,"Washington, United States",https://www.harpercollins.com/collections/childrens-books,"Finance, Economics",Multi,35,2024,Spring,Y,N,N,Y,N,Y,None,N,N,Peer-review & internal vetting for economic/financial manuscripts,"Institutional distribution, conferences, free e-book offerings",Leading global financial org with widely cited reports
The Critical Thinking Company,"Seaside, United States",https://www.criticalthinking.com/,"Teaching, Software, Science, Mathematics, Language, History, Education",Multi,35,2024,Summer,N,N,N,N,N,N,None,Y,N,N/A (mainly develops in-house ed materials),"Schools, homeschool networks, library channels",Multiple awards for critical thinking educational resources
Council on Foreign Relations Press,"New York City, United States",https://www.cfr.org/media/news-releases,"Academic, Political Science, Current Affairs",Multi,35,2022,Winter,Y,Y,N,Y,Y,Y,None,N,N,Likely peer-reviewed proposals on foreign policy topics,"Institutional memberships, policy forums, library distribution","Influential think-tank publisher, recognized in policy circles"
New Growth Press,"Greensboro, United States",https://newgrowthpress.com/,Christian,Christian,75,2023,Winter,Y,Y,N,N,N,N,Christian,N,N,"Open to Christian-based proposals, check guidelines","Church events, Christian bookstores, direct marketing",Known for gospel-centered parenting/marriage resources
SAGE Publications Inc,"Thousand Oaks, United States",https://www.sagepub.com/,"Social Sciences, Political Science, Law, History, Gender Studies, Family, Education, Economics",Multi,6000,2024,Summer,N,N,N,Y,Y,Y,None,N,N,"Peer-reviewed academic approach, typically proposals from scholars","Academic libraries, journals, global distribution",Major academic publisher with numerous recognized journals
Andrews McMeel Publishing,"Kansas City, United States",https://publishing.andrewsmcmeel.com/,,,750,2022,Winter,Y,Y,N,N,N,N,None,N,N,Open to humor/gift/book proposals; see website for details,"Gift shops, online, major retail distribution","Publishes many humor/comics (e.g. Calvin & Hobbes), gift titles"
Simon & Schuster,"La Jolla, United States",https://www.simonandschuster.com/,"Biographies, Memoirs, Literary Fiction, Mystery & Crime, Thriller & Suspense, History, Politics, Romance, Young Adult, Sports & Outdoors, Nonfiction, Fiction, Poetry, Short Story, Novella, and Children's",Multi,9000,2019,Winter,Y,Y,Y,N,N,N,None,N,N,Generally agented; unsolicited rarely accepted,"Global distribution, robust marketing, library channels",Big Five; multiple bestsellers & literary awards
"Inner Traditions, Bear & Company","Rochester, United States",https://www.innertraditions.com/,"Theology, Spirituality, Social Sciences, Self-Help, Science, Religion, Relationship, Reference",Multi,200,2021,Fall,Y,N,N,N,N,N,Spiritual,N,N,"Focus on alternative spirituality, wellness proposals; see site","Specialty/spiritual bookstores, conferences, online marketing",Pioneering mind-body-spirit & esoteric publisher
"Sourcebooks, Inc.","Naperville, United States",https://www.sourcebooks.com/,"Finance, Fiction",Multi,1000,2023,Fall,N,Y,N,N,N,N,None,N,Y,Some open calls for specific imprints (e.g. Sourcebooks Casablanca),"Major chain distribution, libraries, digital marketing",Largest woman-owned book publisher in US; multiple bestsellers
Teacher Created Materials,"Huntington Beach, United States",https://www.teachercreatedmaterials.com/,"Young Adult, Women, Travel, Transportation, Text, Teaching, Sports, Social Sciences",Multi,375,2023,Spring,Y,N,N,N,Y,N,None,N,N,Focus on K-12 resources; proposal form on website,"School channels, direct educator marketing, conferences",Award-winning educational publisher
Emmaus Road Publishing,"Steubenville, United States",https://stpaulcenter.com/emmaus-road-publishing/,"Religion, Reference, Christian",Multi,75,2022,Fall,Y,N,N,N,N,N,Catholic,N,N,"Catholic perspective, see submission guidelines","Catholic networks, parish distribution, direct marketing",Part of Franciscan University network; recognized Catholic imprint
Fast Company Press,"Austin, United States",https://fastcompanypress.com/,"Technology, Self-Help, Economics, Business",Multi,35,2021,Fall,N,Y,N,N,Y,N,None,N,N,"Prefers proposals from business/tech innovators, see site","Fast Company media channels, business conferences, online marketing",Known for cutting-edge business/tech titles
Lucid House Publishing,"Marietta, United States",https://www.lucidhousepublishing.com/,"Young Adult, Women, Thriller, Suspense, Short Story, Romance, Poetry, Novel",Multi,35,2020,Spring,Y,N,N,N,N,N,None,N,N,"Open submission with sample chapters, see guidelines","Indie distribution, online marketing, social media",Small press focusing on meaningful fiction
An Inc. Original,"Austin, United States",https://anincoriginal.com/,"Self-Help, Economics, Business",Multi,35,2023,Winter,Y,N,N,N,N,N,None,N,N,"Business/entrepreneurship proposals, see Inc. brand site","Inc. Magazine channels, business events, conferences",Partners with Inc. magazine; recognized brand in business sector
Imagin8 Press,"Verona, United States",https://imagin8press.com/,"Young Adult, Teaching, Spirituality, Short Story, Science Fiction, Literary Fiction, Historical Fiction, General Fiction",Multi,35,2021,Summer,Y,N,N,N,N,N,None,N,N,Open to diverse genres; queries welcome,"Online distribution, social media, local bookstore outreach","Emerging small press, building cross-genre catalog"
New Village Press,"New York, United States",https://www.newvillagepress.org/,"Women, Teaching, Society, Social Sciences, Political Science, Poetry, Performing Arts, Narrative",Multi,35,2021,Fall,N,N,N,N,N,N,None,N,N,Urban/community development focus; see guidelines,"Academic, community events, specialized conferences","Focus on socially engaged works, recognized for community activism"
Crystal Clarity Publishers,"Bothell, United States",https://www.crystalclarity.com/,"Spirituality, Self-Help, Religion",Multi,75,2024,Spring,Y,Y,N,N,N,N,Spiritual,N,N,"Spiritual/inspirational focus, query first","Retreats, spiritual centers, direct marketing","Ananda community publisher, known for Paramhansa Yogananda titles"
Messianic Jewish Publishers,"Clarksville, United States",https://www.messianicjewish.net/,"Religion, Christian",Multi,35,2019,Spring,Y,Y,N,N,N,N,Messianic,N,N,Focused on Messianic Judaism resources; see website,"Christian/Jewish retailers, ministry events, direct channels",Leading Messianic Jewish imprint
State University of New York Press (SUNY Press),"Albany, United States",https://sunypress.edu/,"Academic, Religion, Psychology, Political Science, Philosophy, Literature, History, Gender Studies",Multi,150,2022,Fall,Y,N,N,Y,N,Y,None,N,N,"Scholarly proposals, peer-review process","Academic conferences, library distribution, statewide network",Highly respected academic press with wide subject coverage
Perfection Learning Corporation,"Logan, United States",https://www.perfectionlearning.com/,"Performing Arts, Natural History, Literature, Juvenile, History, Graphic Novel, Government, Family",Multi,200,2024,Fall,N,Y,N,N,N,N,None,N,N,"Focus on K-12 educational materials, see site","Schools, library distribution, direct marketing",Longstanding educational publisher
"William H. Sadlier, Inc.","New York, United States",https://www.sadlier.com/,"Language, Education",Multi,75,2024,Winter,Y,N,N,N,N,N,Catholic,N,N,Primarily K-12 Catholic educational resources,"Schools, Catholic parishes, direct marketing",Known for language arts & religion textbooks
Macmillan Publishers,"New York City, United States",https://us.macmillan.com/,"Literary Fiction, Romance, Young Adult, Middle Grade, Mystery & Crime, Thriller & Suspense, Science Fiction, Fantasy, Horror, Biographies & Memoirs, Politics, Cookbook, Self-Help, Picture Book, Nonfiction, Fiction, Poetry, Short Story, Novella, and Children's",Multi,75,2020,Winter,Y,N,Y,N,N,N,None,N,N,"Generally agented; see imprint guidelines (Tor, FSG, etc.)","Global distribution, robust marketing, library channels",Big Five; multiple major literary awards
Greenleaf Book Group,"Austin, United States",https://greenleafbookgroup.com/,"Technology, Spirituality, Self-Help, Political Science, Photography, Philosophy, Law, Journalism",Multi,1000,2023,Winter,N,N,N,N,Y,N,None,N,N,Hybrid/partner model; proposals welcomed with marketing plan,"Bookstore distribution, direct marketing, social media",Hybrid publisher with multiple NYT bestsellers
Albert Whitman & Company,"Morton Grove, United States",https://www.albertwhitman.com/,"Novel, Literature, Children's",Multi,750,2019,Summer,Y,Y,N,N,N,N,None,N,Y,Open to children’s/YA; see guidelines for submission windows,"Library/school channels, trade distribution, marketing to educators","Known for classic children’s series (Boxcar Children, etc.)"
After Dinner Conversation,"Tempe, United States",afterdinnerconversation.com,"Young Adult, Women, Thriller, Teaching, Suspense, Spirituality, Social Sciences, Short Story",Multi,200,2022,Spring,Y,Y,N,N,N,N,None,N,Y,Open calls for short story anthologies focusing on ethics,"Online marketing, direct e-book sales, social media",Philosophy/ethical storytelling niche
Arabelle Publishing,United States,arabellepublishing.com,"Women, Spirituality, Self-Help, Religion, Memoir, Inspirational, Cookbook, Christian",Multi,35,2019,Summer,Y,Y,N,N,N,N,Christian,N,N,Focus on Christian/women’s interest; see site for queries,"Online distribution, direct church marketing",Small Christian & women’s lifestyle publisher
Trinity Hills Publishing,"Sheridan, United States",trinityhillspublishing.com,"Young Adult, Women, True Crime, Travel, Transportation, Thriller, Theology, Text",Multi,35,2022,Summer,Y,N,N,N,Y,N,Christian,N,N,Welcomes proposals with Christian/women’s interest angle,"Online channels, local bookstore signings, social media","Small press, building variety of genres"
Dawn Publications,"Nevada City, United States",dawnpub.com,"Science, Nature, Literature, Inspirational, Fiction, Children's",Multi,125,2019,Fall,N,Y,N,N,N,N,None,N,N,Focus on nature-themed children’s books; see site,"Environmental organizations, library distribution, direct marketing",Winner of various educational/nature book awards
Charlesbridge Publishing,"Watertown, United States",charlesbridge.com,"Novel, Fiction, Children's, Board Books",Multi,75,2023,Summer,Y,Y,N,N,N,N,None,N,N,Open to children’s picture books and middle grade; see guidelines,"Bookstores, libraries, educational fairs, specialty shops",Award-winning children’s publisher
Greenleaf Book Group LLC,"Austin, United States",greenleafbookgroup.com,"Family, Education, Economics, Diet, Cookbook, Children's, Business",Multi,150,2019,Fall,N,N,N,N,Y,N,None,N,N,Hybrid model with distribution services; proposals must have platform,"Major chain distribution, library channels, corporate deals",Known for hybrid approach and marketing support
University of Oklahoma Press,"Norman, United States",oupress.com,"Academic, Military, Fiction",Multi,150,2020,Winter,Y,Y,N,Y,Y,Y,None,N,N,"Scholarly proposals focusing on Western/Military history, etc.","Academic networks, library distribution, conferences","Respected university press, known for Western/American Indian studies"
International Engineering Consortium,"Chicago, United States",iec.org,"Technology, Education, Computer, College",Multi,150,2019,Winter,Y,Y,N,N,Y,Y,None,N,N,Academic/technical proposals in engineering; see site,"Technical conferences, academic library distribution",Industry-led consortium focusing on engineering tech
Oasis Audio,"Carol Stream, United States",oasisaudio.com,"Religion, Relationship, Politics, Parenting, Language, Juvenile, History, Health",Multi,35,2021,Winter,N,N,N,N,N,N,None,N,N,Focus on audio publishing; queries for audio rights,"Audiobook distribution, Christian stores, libraries",Major Christian audiobook publisher
