Publisher,Author,Goodreads_Rating,Distinct_Works_Count,Sample_Book_Title,Sample_Book_Genre,Sample_Book_Pages
Merriam-Webster Inc.,George Alfred Henty,3.7,10,In the Reign of Terror,France,384
Merriam-Webster Inc.,Joanna Jozefowska,0.0,4,Perspectives in Modern Project Scheduling,Business & Economics,454
Merriam-Webster Inc.,L. Frank Baum,3.97,14,The Road to Oz,Fairy tales,139
Merriam-Webster Inc.,Oscar Wilde,4.12,11,The Picture of Dorian Gray,British and irish fiction (fictional works by one author),254
Merriam-Webster Inc.,Jane Austen,4.16,10,Persuasion,"Fiction, Romance, Historical, Regency",267
Merriam-Webster Inc.,Charles Dickens,3.92,12,Oliver Twist,Bildungsromans,414
Merriam-Webster Inc.,Lucy Maud Montgomery,4.23,10,Rilla of Ingleside,Children and war,284
Merriam-Webster Inc.,Henry James,3.57,13,Washington Square,Romance,214
Merriam-Webster Inc.,Rafael Sabatini,4.11,12,The Sea-Hawk,Spanish Armada,366
Merriam-Webster Inc.,Stephen Leacock,3.77,11,Literary Lapses [42 Stories],Canadian Humorous stories,248
Merriam-Webster Inc.,Andrew Lang,3.97,12,The Yellow Fairy Book (Large Print),Fairy tales,326
Merriam-Webster Inc.,Alexandre Dumas,4.22,15,Ten Years Later,Fiction,497
Merriam-Webster Inc.,Edgar Rice Burroughs,3.84,15,The Outlaw of Torn,Fiction,178
Merriam-Webster Inc.,Marie Corelli,3.86,11,The master-Christian,"Fiction, romance, historical, regency",604
Merriam-Webster Inc.,E. Pauline Johnson,3.89,10,The Moccasin Maker,Social life and customs,160
Merriam-Webster Inc.,Rex Ellingwood Beach,0.0,6,The Spoilers,Gold miners,313
O'Reilly Media Inc,William Shakespeare,3.86,15,King Lear,Drama,202
O'Reilly Media Inc,David Flanagan,4.0,11,JavaScript,JavaScript (Computer program language),987
O'Reilly Media Inc,Mark Lutz,4.01,10,Learning Python,Python (Langage de programmation),591
O'Reilly Media Inc,Wes McKinney,4.18,10,Python For Data Analysis,Programming languages (Electronic computers),508
O'Reilly Media Inc,Alex Martelli,3.91,10,Python Cookbook,Python (Computer program language),757
O'Reilly Media Inc,Foster Provost,4.13,4,Data Science for Business,Data mining,414
O'Reilly Media Inc,Douglas Crockford,4.16,6,JavaScript,JavaScript (Computer program language),190
O'Reilly Media Inc,Robin Nixon,3.77,12,"Learning PHP, MySQL & JavaScript",PHP (Computer program language),812
O'Reilly Media Inc,Andreas C. Mueller,0.0,1,Introduction to Machine Learning with Python,Programming languages (Electronic computers),376
O'Reilly Media Inc,Eric S. Raymond,3.91,10,The Cathedral and the Bazaar,Development,256
O'Reilly Media Inc,Eric Enge,4.1,4,The Art of Seo,Program transformation (Computer programming),688
O'Reilly Media Inc,O'Reilly Media Inc,3.68,10,Biocoder,Biotechnology,0
O'Reilly Media Inc,Danny Goodman,3.75,10,Dynamic HTML,Éditique,1073
O'Reilly Media Inc,Betsy Beyer,4.21,9,Site Reliability Engineering,Systems engineering,524
O'Reilly Media Inc,Jennifer Niederst Robbins,3.99,10,HTML,World Wide Web,104
Penguin Random House,Sarah Mathews,3.83,4,All This Could Be Different,Fiction,320
Penguin Random House,Tove Jansson,4.16,15,Penguin Readers Level 3: Moomin and the Hat (ELT Graded Reader),Young Adult Fiction,77
Penguin Random House,Langston Hughes,4.28,11,Not Without Laughter,Fiction,0
Penguin Random House,Ruta Sepetys,4.33,10,Out of the Easy,Young Adult Fiction,309
Penguin Random House,Kenneth C. Davis,3.78,12,Don't Know Much About Anything,Games & Activities,0
Penguin Random House,Giuseppe Tomasi Di Lampedusa,3.96,10,The Leopard,Unknown,208
Penguin Random House,Charlotte Brontë,4.04,15,Jane Eyre,Unknown,560
Penguin Random House,Sabaa Tahir,4.24,14,An Ember in the Ashes,YOUNG ADULT FICTION,0
Penguin Random House,Stephen King,4.07,15,Der Outsider,Fiction,656
Penguin Random House,Delia Owens,4.38,10,Where the Crawdads Sing,Fiction,0
Penguin Random House,Jane Austen,4.16,10,Emma,Unknown,0
Penguin Random House,Celeste Ng,3.97,11,Our Missing Hearts,Fiction,0
Penguin Random House,Anonyme,3.86,11,Mixed messages journal,Unknown,242
Penguin Random House,David A. Adler,3.92,15,"Pass the Ball, Mo!",Juvenile Fiction,34
Penguin Random House,Leo F. Buscaglia,4.2,10,Born for Love,Unknown,0
Penguin Random House,Jonathan Powell,3.77,10,The New Machiavelli,Unknown,352
Penguin Random House,David Hill,3.78,14,The Deadly Sky,Juvenile Fiction,186
Penguin Random House,Graham Greene,3.87,10,The Ministry of Fear,Unknown,0
Penguin Random House,Random House,3.6,10,Smoke and Mirrors,Unknown,0
Penguin Random House,Patricia Highsmith,4.0,12,Penguin Readers Level 6: The Talented Mr Ripley (ELT Graded Reader),Young Adult Fiction,99
Penguin Random House,M. R. James,3.86,12,Penguin Readers Level 3: Ghost Stories (ELT Graded Reader),Juvenile Fiction,65
Penguin Random House,Sherwood Anderson,3.81,10,"Winesburg, Ohio",Fiction,159
Penguin Random House,Rudyard Kipling,3.9,14,The Jungle Book,Juvenile Fiction,203
Penguin Random House,John Steinbeck,3.97,13,The Pearl,Fiction,0
Penguin Random House,Emma Straub,3.54,10,This Time Tomorrow,FICTION,0
Penguin Random House,E. L. James,3.75,15,Fifty Shades of Grey,"Man-woman relationships, fiction",544
Penguin Random House,Truman Capote,4.0,10,In Cold Blood,True,352
Penguin Random House,Markus Zusak,4.35,12,The Book Thief,nyt:young-adult-paperback-monthly=2022-09-04,563
Penguin Random House,Gabriel Garcia Marquez,4.19,11,El amor en los tiempos del cólera,Vida familiar,451
Penguin Random House,George Orwell,4.11,11,Homage to Catalonia,English Personal narratives,241
Penguin Random House,Toni Morrison,4.03,11,Beloved,African American History,321
Penguin Random House,James Joyce,3.75,13,Finnegans Wake,Facsimiles,467
Penguin Random House,Dan Brown,3.9,12,The Da Vinci Code,Suspense & Thriller,494
Penguin Random House,Josephine Tey,3.74,12,The Daughter of Time,Alan Grant (Fictitious character),207
Penguin Random House,Roald Dahl,4.15,15,James and the Giant Peach,Christian Books,144
Penguin Random House,Edith Nesbit,3.94,10,The Phoenix and the Carpet,English Fantasy fiction,174
Penguin Random House,Mark Haddon,3.87,12,The Curious Incident of the Dog in the Night-Time,"England, fiction",251
Penguin Random House,Nevil Shute,4.08,10,On The Beach,Atomic Bomb,292
Penguin Random House,D. H. Lawrence,3.74,10,Women in Love,Romance,540
Penguin Random House,Philip Pullman,4.06,15,Northern Lights,Political theology,416
Getty Publications,The J. Paul Getty Museum,4.09,10,The J. Paul Getty Museum Journal,Art,320
Getty Publications,The J. Paul Getty Muiseum,4.09,10,The J. Paul Getty Museum Journal,Art,90
Getty Publications,W. R. Valentiner,4.67,10,The J. Paul Getty Museum Guidebook,Art,70
Getty Publications,Gail Feigenbaum,4.21,10,"Getty Research Journal, No. 13",Art,226
Getty Publications,John Harris,4.33,18,Discovering Art Kids,Art,24
Getty Publications,Cornelius C. Vermeule,3.67,10,Catalogue of the Ancient Art in the J. Paul Getty Museum,Art,173
Getty Publications,Thomas W. Gaehtgens,0.0,1,"The Getty Research Journal, No 1",Art,230
Getty Publications,William Hackman,4.12,6,Inside the Getty,Art,190
Getty Publications,Jiri Frel,0.0,1,Roman Portraits in the J. Paul Getty Museum,"Portrait sculpture, Roman",137
Getty Publications,Marion True,3.57,10,The Getty Villa,Architecture,262
Getty Publications,Gregory Clark,3.81,10,The Spitz Master,Art,106
Getty Publications,Andrew J. Clark,3.74,13,Corpus Vasorum Antiquorum: The J. Paul Getty Museum,Art,176
Getty Publications,Helen Frowe,3.83,10,Conflict and Cultural Heritage,Unknown,0
Getty Publications,Eliot Wooldridge Rowlands,,3,Masaccio,Art,120
Getty Publications,Leo Politi,3.73,10,Emmet,Art,33
Getty Publications,Marit R. Jentoft-Nilsen,4.0,4,Corpus Vasorum Antiquorum: The J. Paul Getty Museum,Art,129
Getty Publications,Richard De Puma,4.1,10,Corpus Vasorum Antiquorum: The J. Paul Getty Museum,Architecture,127
Getty Publications,The Getty Conservation Institute,4.97,1,Landmarks of a New Generation,Art,96
Getty Publications,Judith Keller,3.99,14,Weegee,Photography,148
Getty Publications,Michel Draguet,4.21,10,Portrait of Jeanne Kéfer,Art,116
Getty Publications,Isabelle Tillerot,5.0,4,East Asian Aesthetics and the Space of Painting in Eighteenth-Century Europe,Art,279
Getty Publications,James B. Cuno,,17,Cultural Heritage and Mass Atrocities,Cultural property,0
Getty Publications,Paola Rapelli,4.08,10,Symbols of Power in Art,Art,386
Getty Publications,Sarah Perry,3.48,10,If…,Juvenile Fiction,56
Getty Publications,Paul Martineau,4.35,10,Imogen Cunningham,Photography,258
Getty Publications,Le Corbusier,3.91,10,Vers une architecture,Architecture,269
Getty Publications,"Robertson, Bruce",4.25,10,Marguerite makes a book,Fiction,48
Getty Publications,Alfred Stieglitz,3.95,10,Alfred Stieglitz,Exhibitions,95
Getty Publications,Lee Hendrix,4.26,10,Nature illuminated,Early works to 1800,64
Getty Publications,Aby Warburg,4.08,10,The renewal of pagan antiquity,Renaissance Art,859
Getty Publications,Isabel Quintero,4.02,10,Photographic,Photographers,95
Getty Publications,David Saunders,3.9,12,Museum Lighting - A Guide for Conservators and Curators,Museums,296
Getty Publications,J. Paul Getty Museum.,4.24,1,The J. Paul Getty Museum handbook of the collections,Art,256
Getty Publications,Bertrand Jaeger,0.0,10,Thesaurus Cultus et Rituum Antiquorum,Religion,485
Getty Publications,Julian Cox,3.62,7,Julia Margaret Cameron,J. Paul Getty Museum,568
Getty Publications,"Weston, Edward",4.12,8,Edward Weston's book of nudes,J. Paul Getty Museum,92
Getty Publications,Mihaly Csikszentmihalyi,4.24,10,The art of seeing,Aesthetics,214
Getty Publications,Mansfield Kirby Talley,0.0,2,Historical and philosophical issues in the conservation of cultural heritage,Art,510
Getty Publications,Murtha Baca,3.46,1,Introduction to metadata,World Wide Web,69
Getty Publications,Manos G. Birēs,,5,Neoclassical architecture in Greece,Architecture,312
American Chemical Society Publications,American Chemical Society,2.94,10,Handbook for Authors of Papers in the Research Journals of the American Chemical Society,Chemical literature,104
American Chemical Society Publications,American Chemical Society. Committee on Analytical Reagents,0.0,1,Reagent Chemicals,Science,688
American Chemical Society Publications,Sydney Ross,4.17,11,Chemistry and Physics of Interfaces,Colloids,200
American Chemical Society Publications,Melvin J. Josephs,4.11,10,Chemistry and the Environment,Political Science,174
American Chemical Society Publications,Robert L. Gorring,,500,Applied Kinetics and Chemical Reaction Engineering,Science,240
American Chemical Society Publications,American Chemical Society. Division of Industrial and Engineering Chemistry,0.0,1,Applied Thermodynamics,Science,368
American Chemical Society Publications,Howard J. Chemistry and the atmosphere Sanders,,500,Chemistry and the Environment. Special Reports Reprinted from Chemical & Engineering News,Atmosphere,152
American Chemical Society Publications,Joseph H. Kuney,,500,Computers and Scientific Periodicals,Unknown,0
American Chemical Society Publications,American Chemical Society. National Organic Chemistry Symposium,0.0,10,Twenty-first National Organic Chemistry Symposium of the American Chemical Society,"Chemistry, Organic",158
American Chemical Society Publications,Symposium on the Chemistry & Physics of,0.0,1,Chemistry and Physics of Interfaces,Unknown,187
American Chemical Society Publications,Chemical and Engineering News,0.0,1,"Chemistry and the Environment; The Solid Earth, the Ocean, the Atmosphere. Special Reports Reprinted From Chemical & Engineering News",Geochemistry,150
American Chemical Society Publications,Robert Gorring (L.),,500,Applied Kinetics and Chemical Reation Engineering,Chemical engineering,0
American Chemical Society Publications,Anthony Leslie Wilson,3.81,4,New Aliphatic Amines,Unknown,5
American Chemical Society Publications,Howard J. Sanders,0.0,1,Chemical Mutagens,Genetics,67
American Chemical Society Publications,Arthur K. Doolittle (Chimiste),,500,Lacquer Solvents in Commercial Use,Unknown,11
American Chemical Society Publications,Ziaoyan Cao,,500,Characterization of Wood Chars Produced at Different Temperatures Using Advanced Solid-state 13C NMR Spectroscopic Techniques,Char,9
American Chemical Society Publications,F. A. L. Dullien,3.75,1,Flow Through Porous Media,Fluid dynamics,248
